Asset_ID,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50
A01,0.08549775999999999,0.0026548112723645094,0.029896937353807992,0.02882413962584579,0.014772485515314944,0.043929925283276224,0.0029448200881468404,0.008405869843865658,0.006431964781048474,0.01362285138030292,0.030643248693764336,0.008845840113169409,0.0025311078506571384,0.0026314499405504384,0.012632406726393288,0.0348907909812628,9.16485457833015e-05,0.0029729619692295847,0.005323577250360645,0.00017564724460216396,0.033005227466560504,0.006398736429230297,0.004159496803357863,0.019360735444610595,0.005946463063102754,0.046519580705602054,0.006737373014836329,0.002607024285724495,0.012188425010067535,0.006002504045932416,0.05748859821029387,0.015828984319213632,0.008820485962459695,0.0007220136356969466,0.005492126749608663,0.019429520449728375,0.006632005467467134,0.023830414052917363,0.012496469744575203,0.017538505912219903,0.015243160098361526,0.021223025993207384,0.014120981945181901,0.012840431289224572,0.013980701820139484,0.0242405604824858,0.015268788491758108,0.005152460361688844,0.00016040134246760824,0.00581307185915628
A02,0.0026548112723645094,0.059438439999999995,0.004920745351550415,0.02510199073768653,0.01855890940844382,0.025025529881270627,0.009633848891966479,0.00014922559514562002,0.00554946608750392,0.00548263083229466,0.013876275794702011,0.022557783535524633,0.02139530599539391,0.003997080108883938,0.004514078605289822,0.015413628911914347,0.010941915131929986,0.004140497630535349,0.0037249291752847677,0.027086874488046486,0.016500856345110813,0.015265302821119354,0.0004870998959678029,0.015227780655441801,0.02188789666647343,0.0031734487124306307,0.03595079086919862,0.005860957405247374,0.010084669882233246,0.0053698650298868245,0.018208960683958404,0.02728446536037842,0.0037993438718097595,0.00520141450224124,0.010088588378411822,0.011102319986291435,0.04336101042246536,0.010441963588310767,0.013293158809936052,0.01308654227786239,0.0050644201541028685,0.037892277393360096,0.01864088940984274,0.016516768973749534,0.007999704523858462,0.006351095710486969,0.019278000962331975,0.008848199670006668,0.00019768710649312746,0.0034961941420773687
A03,0.029896937353807992,0.004920745351550415,0.08116801,0.016925548489758087,0.006514521097961589,0.018886446024031674,0.00025060579162819864,0.011703403759396188,0.005746480221427087,0.005389513837523372,0.002131428918410254,0.0070108483776866,0.051879417278019466,0.003423619029660803,0.008532348754644859,0.001806154803455096,0.0005017980900607101,0.04371555004028329,0.004226499402265979,0.02155273648422406,0.02011539905586049,0.01108744786666238,0.008881796007389578,0.009344565980755996,0.020543422231949264,0.007169717271093775,0.012146114457557549,0.008418710911416877,0.00040330031245972513,0.00866656965359901,0.02532231268702316,0.016322660784340904,0.021306879630281245,0.0013014341051365292,0.0022765800993831725,0.003744371472606135,0.014545885952982965,0.04091578657287827,0.020449170091194572,0.005362602965210817,0.00869443414601177,0.019197914258664146,0.04254763191537265,0.013266135794636948,0.011605337129833557,0.0048953288459199,0.007330393015158966,0.03143085799724271,9.251190278352961e-05,0.0010185281346369495
A04,0.02882413962584579,0.02510199073768653,0.016925548489758087,0.07491169,0.0010047556650840275,0.0012507464924455787,0.006752584963575558,0.007626609782047575,0.009893363364559846,0.0014063390571298067,0.007922614004346807,0.006106244218983636,0.004877062592604904,0.021851348535353407,0.005244121458283299,0.012520501004044313,0.005923960506823518,0.0012424506889557802,0.010323791608782397,0.02032962989792948,0.0133907642299705,0.009348720228985764,0.0037066482297876038,0.03232605570741855,0.001751453927705967,0.016338138136875777,0.0007047168699218923,0.004392953678690585,0.029653330393636133,0.004977230126514248,0.011295661007905725,0.014493916557113164,0.006657496160049193,0.011151210909614935,0.013162239139721855,0.0055501188540580965,0.02445571761633755,0.02075526486611466,0.035582755012103805,0.0012764968044505843,0.0008815507297049736,0.00045544148533331895,0.0024835756055228814,0.0350638371696544,0.0018915390557524589,0.006055379777590875,0.016714198692419916,0.00039975162817180407,0.01120374773432439,0.0023760244771487706
A05,0.014772485515314944,0.01855890940844382,0.006514521097961589,0.0010047556650840275,0.03980025,0.002644989685000392,0.004008733019895869,0.004968774278130439,0.004292364947450827,0.018179623278505728,0.009438136957621447,0.0026512490773822127,0.003641868562679548,0.008337948759586919,0.01733108654566203,0.014678157028588098,0.002805371080613712,0.007436604333189157,0.004250301942730699,0.03174574954936703,0.018056115047167285,0.006829583358428112,0.0017596133819646606,0.015213563896158445,0.031740838590488804,0.0019116628435008544,0.017487359690195544,0.0027618610435117224,0.009206802289037532,0.008321856694817182,0.018994799915916353,0.0063917968975825655,0.00011476487684456029,0.0047612408452331525,0.011120713228322024,0.0033456852731265935,0.017619393211180046,0.015884759498184197,0.01243766135575435,0.021890084462186314,0.0028592976170442068,0.005341813530457718,0.006299828859068735,0.010212824922878543,0.033939043603903096,0.010953332533328558,0.011386183072557477,0.0011419569579534938,0.002225247353781003,0.006498275556798273
A06,0.043929925283276224,0.025025529881270627,0.018886446024031674,0.0012507464924455787,0.002644989685000392,0.07868025000000002,0.004445479837023738,0.004904432503155197,0.0061055050904260015,0.005169630836815467,0.018449300112595712,0.0018899439403614604,0.021975551968401744,0.009655478085208561,0.0013637849041694436,0.022587950723081278,0.006700872354035571,0.00204508433317266,0.006325791127553129,0.023510620119060705,0.02949467469800795,0.0009490235145797458,0.005690029380382561,0.01066206923576614,0.0094275572858352,0.047248916688973595,0.02580509730486346,0.0075781083762234405,0.011800252921093036,0.003335089714228932,0.032312981833932386,0.017944912920420625,0.008314047370061419,0.0031366890519319585,0.012986191248374274,0.0163700057416867,0.012845337529413354,0.0002667502506441855,0.014292256191827196,0.0010619259480455117,0.010029956479401688,0.0030104653680197036,0.017496503294560848,0.01592929660681637,0.01588567984023485,0.03817500877339549,0.00760032855937652,0.005029726995081408,0.00549656477111316,0.0019317338873049597
A07,0.0029448200881468404,0.009633848891966479,0.00025060579162819864,0.006752584963575558,0.004008733019895869,0.004445479837023738,0.00519841,0.0027501544657092558,2.1487798568328793e-05,0.0036726323940632034,0.00018322452988835935,0.006424878839608369,0.003914301076411773,0.003986284977035222,0.0002558208098216621,0.0029662153592883013,0.00483890717284211,0.0037790785273797067,0.0012452173712541187,0.0059534018628668636,0.0031867892232511174,0.004679795870453551,0.0008661735124513177,0.006598707904028015,0.0002971297071711011,0.001882321879495214,0.013657467756346457,0.0017587517156278608,0.0018345032487474587,0.0014128853055271095,0.002126313167705345,0.007051822251915968,0.0017746053271968478,0.0006715656970882828,0.0021495284173399976,0.00029435712791821235,0.013233215349218638,0.005955821362143792,0.005472688605627145,0.0025989973284217607,0.0007132494386504456,0.01194233838249394,0.004743384813352221,0.0008924827425934782,0.0063760056781947475,0.004113390306495788,0.010161163870530574,0.0032838778725792954,0.0009977664357444535,0.0009287839458298516
A08,0.008405869843865658,0.00014922559514562002,0.011703403759396188,0.007626609782047575,0.004968774278130439,0.004904432503155197,0.0027501544657092558,0.009801,0.002264179738772201,0.004503081872179584,0.00026358505428939085,0.00012299877199274095,0.01401944456725696,0.004468029336335314,0.0046993553934487915,0.0011061237004458375,0.002004549503140876,0.013698161119608409,0.0026348306565272383,0.009894324705976848,0.008070389241364995,0.0018504568380497183,0.002879780207838178,0.0027489550003029703,0.0005061008735943012,0.007954650316960335,0.007815945654664602,0.005424434160555959,0.0055095678972384805,0.0017376125478072598,0.008094115456217197,0.007699538373508227,0.009719749066218544,0.0006454895002331184,0.002278365648732319,0.0006715617958918952,0.008780169765903113,0.013318785550778967,0.0024609465356193105,0.0044713502479255315,0.0019557824779384008,0.003238034521665141,0.010592070732395495,0.005060895013203867,0.005000635688770285,0.005303232361427611,0.003722144368177114,0.011508048185039168,0.001232650809992487,0.0017104120628057
A09,0.006431964781048474,0.00554946608750392,0.005746480221427087,0.009893363364559846,0.004292364947450827,0.0061055050904260015,2.1487798568328793e-05,0.002264179738772201,0.00375769,0.0028223652340720784,0.0014563084622665182,0.00038709709070962393,0.00018151921460783004,0.005990606398869105,0.001828240821942272,0.0032059314691913533,0.0004449042816649115,0.0008376290596375925,0.0017065371748693052,0.0025505539396729333,0.003516388426815339,0.00095889705138879,0.0005513618935243225,0.011854583684883728,0.0019358420924549475,0.002927682074296326,0.004665443730621835,0.0006660411880424519,0.00555238979818641,0.0016704674929391451,0.006188420904956295,0.0007421645526398062,0.0030149345211009718,0.002411062970265848,0.0008086158616192517,0.0014781765479509328,0.005584664668570377,0.0025293416921892613,0.00885551294181907,0.002610759242132932,0.00047048080873805944,0.00042467653823273954,0.0007590634136560384,0.005263637859727843,0.0009039735367024378,0.0005902609302012373,0.002839564747783271,0.0006997268781393772,0.0018609609647925037,0.0016931723894389468
A10,0.01362285138030292,0.00548263083229466,0.005389513837523372,0.0014063390571298067,0.018179623278505728,0.005169630836815467,0.0036726323940632034,0.004503081872179584,0.0028223652340720784,0.01723969,0.0036641708990204115,0.004130083599915249,0.002327721634253069,0.0014057834820821295,0.00657090365110312,0.0016476175884805504,0.0012466093044276615,0.002328795953870793,0.0003195838752023505,0.0174625146584254,0.005883044528079846,0.0010804136950000205,0.000983356689455389,0.00671298271907893,0.020126320901792553,0.00047962367366878415,0.01019396629179067,0.00225894699924028,0.0005994402163704835,0.007773627597708947,0.012855209270902414,0.0006601682141346381,0.0019296721885077148,0.002790317451050811,0.011725235084503884,0.0012724340688751777,0.0025552441496860716,0.004074336599203548,0.006916534604130777,0.01428694349498963,0.0015480900135813353,0.005545937407406741,0.009429573115722532,0.0003666323255494426,0.015964317764523273,0.006496451851463871,0.00849583874494044,0.0042164206538806304,0.0015761882538819789,0.004477447900738508
